"Antragssteller_ID","Kredit_Zeitspanne","Antragssteller_Kredit_Historie","Kredit_Nutzung","Kredit_Höhe","Antragssteller_Beschäftigt_Seit","Antragssteller_Teilzahlungshöhe","Antragssteller_Geschlecht_Familienstand","Kredit_Zusätzliche_Antragssteller","Antragssteller_Letzter_Wohnwechsel","Antragssteller_Eigentum","Antragssteller_Alter","Antragssteller_Weitere_Ratenzahlungen","Antragssteller_Wohnverhältnis","Antragssteller_Anzahl_Kredite","Antragssteller_Job","Antragssteller_Anzahl_Personen_Vormund","Antragssteller_Telefon","Antragssteller_Ausländisch","Kredit_Score"
1,6,"critical account/ other credits existing (not at this bank)","radio/television",1169,"more than 7 years",4,"male (single)","none",4,"real estate",67,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
2,48,"existing credits paid back duly till now","radio/television",5951,"1 to 4 years",2,"female (divorced/separated/married)","none",2,"real estate",22,"none","own",1,"skilled employee / official",1,"none",NA,"bad"
3,12,"critical account/ other credits existing (not at this bank)","education",2096,"4 to 7 years",2,"male (single)","none",3,"real estate",49,"none","own",1,"unskilled - resident",2,"none","Yes","good"
4,42,"existing credits paid back duly till now","furniture/equipment",7882,"4 to 7 years",2,"male (single)","guarantor",4,"building society savings agreement/ life insurance",45,"none","for free",1,"skilled employee / official",2,"none",NA,"good"
5,24,"delay in paying off in the past","car (new)",4870,"1 to 4 years",3,"male (single)","none",4,"unknown / no property",53,"none","for free",2,"skilled employee / official",2,"none",NA,"bad"
6,36,"existing credits paid back duly till now","education",9055,"1 to 4 years",2,"male (single)","none",4,"unknown / no property",35,"none","for free",1,"unskilled - resident",2,"yes, registered under the customers name","Yes","good"
7,24,"existing credits paid back duly till now","furniture/equipment",2835,"more than 7 years",3,"male (single)","none",4,"building society savings agreement/ life insurance",53,"none","own",1,"skilled employee / official",1,"none",NA,"good"
8,36,"existing credits paid back duly till now","car (used)",6948,"1 to 4 years",2,"male (single)","none",2,"car or other",35,"none","rent",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
9,12,"existing credits paid back duly till now","radio/television",3059,"4 to 7 years",2,"male (divorced/separated)","none",4,"real estate",61,"none","own",1,"unskilled - resident",1,"none","Yes","good"
10,30,"critical account/ other credits existing (not at this bank)","car (new)",5234,"Unemployed",4,"male (married/widowed)","none",2,"car or other",28,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"none","Yes","bad"
11,12,"existing credits paid back duly till now","car (new)",1295,"less than 1 year",3,"female (divorced/separated/married)","none",1,"car or other",25,"none","rent",1,"skilled employee / official",1,"none",NA,"bad"
12,48,"existing credits paid back duly till now","business",4308,"less than 1 year",3,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",24,"none","rent",1,"skilled employee / official",1,"none",NA,"bad"
